Data,Ostatnio,Otwarcie,Max.,Min.,Wol.,Zmiana%
17.02.2020,"42,573","42,500","42,653","42,439",,"0,20%"
18.02.2020,"42,663","42,589","42,787","42,566",,"0,21%"
19.02.2020,"42,649","42,684","42,765","42,641",,"-0,03%"
20.02.2020,"42,758","42,688","42,877","42,654",,"0,26%"
21.02.2020,"42,855","42,786","42,972","42,750",,"0,23%"
24.02.2020,"43,035","42,863","43,091","42,767",,"0,42%"
25.02.2020,"43,034","43,059","43,100","42,876",,"0,00%"
26.02.2020,"43,146","43,058","43,182","43,015",,"0,26%"
27.02.2020,"43,202","43,154","43,268","43,033",,"0,13%"
28.02.2020,"43,265","43,231","43,411","43,200",,"0,15%"
02.03.2020,"43,144","43,196","43,386","43,071",,"-0,28%"
03.03.2020,"43,061","43,166","43,372","42,927",,"-0,19%"
04.03.2020,"42,851","43,067","43,130","42,852",,"-0,49%"
05.03.2020,"43,044","42,888","43,106","42,855",,"0,45%"
06.03.2020,"42,963","43,081","43,218","42,864",,"-0,19%"
09.03.2020,"43,246","43,001","43,379","42,951",,"0,66%"
10.03.2020,"43,086","43,257","43,342","43,014",,"-0,37%"
11.03.2020,"43,216","43,120","43,326","43,025",,"0,30%"
12.03.2020,"43,769","43,266","43,988","43,207",,"1,28%"
13.03.2020,"43,754","43,780","43,932","43,478",,"-0,03%"
16.03.2020,"44,469","43,681","44,543","43,525",,"1,63%"
17.03.2020,"44,691","44,492","44,999","44,307",,"0,50%"
18.03.2020,"45,005","44,711","45,518","44,580",,"0,70%"
19.03.2020,"45,779","45,030","46,220","44,858",,"1,72%"
20.03.2020,"45,381","45,792","45,882","45,062",,"-0,87%"
23.03.2020,"46,049","45,381","46,384","45,128",,"1,47%"
24.03.2020,"46,014","46,076","46,371","45,724",,"-0,08%"
25.03.2020,"45,642","46,039","46,115","45,428",,"-0,81%"
26.03.2020,"45,140","45,648","46,004","45,089",,"-1,10%"
27.03.2020,"45,370","45,154","45,477","45,117",,"0,51%"
30.03.2020,"45,380","45,364","45,683","45,272",,"0,02%"
31.03.2020,"45,575","45,390","45,793","45,275",,"0,43%"
01.04.2020,"45,989","45,588","46,063","45,540",,"0,91%"
02.04.2020,"45,640","46,040","46,083","45,564",,"-0,76%"
03.04.2020,"45,793","45,740","45,933","45,559",,"0,34%"
06.04.2020,"45,556","45,866","45,946","45,416",,"-0,52%"
07.04.2020,"45,206","45,626","45,681","45,137",,"-0,77%"
08.04.2020,"45,272","45,286","45,495","45,209",,"0,15%"
09.04.2020,"45,428","45,297","45,638","45,168",,"0,34%"
10.04.2020,"45,460","45,472","45,603","45,394",,"0,07%"
13.04.2020,"45,583","45,553","45,770","45,451",,"0,27%"
14.04.2020,"45,126","45,620","45,661","45,135",,"-1,00%"
15.04.2020,"45,322","45,187","45,486","45,132",,"0,43%"
16.04.2020,"45,405","45,376","45,545","45,252",,"0,18%"
17.04.2020,"45,099","45,436","45,483","45,120",,"-0,67%"
20.04.2020,"45,190","45,181","45,338","45,099",,"0,20%"
21.04.2020,"45,298","45,227","45,439","45,181",,"0,24%"
22.04.2020,"45,433","45,339","45,604","45,229",,"0,30%"
23.04.2020,"45,389","45,486","45,595","45,306",,"-0,10%"
24.04.2020,"45,258","45,422","45,491","45,191",,"-0,29%"
27.04.2020,"45,331","45,287","45,445","45,135",,"0,16%"
28.04.2020,"45,486","45,368","45,550","45,292",,"0,34%"
29.04.2020,"45,405","45,495","45,552","45,342",,"-0,18%"
30.04.2020,"45,458","45,453","45,560","45,281",,"0,12%"
01.05.2020,"45,580","45,483","45,736","45,403",,"0,27%"
04.05.2020,"45,483","45,642","45,740","45,456",,"-0,21%"
