"Data","Ostatnio","Otwarcie","Max.","Min.","Wol.","Zmiana%"
"17.02.2020","3,9295","3,9228","3,9377","3,9155","","0,16%"
"18.02.2020","3,9536","3,9305","3,9616","3,9283","","0,61%"
"19.02.2020","3,9475","3,9551","3,9634","3,9466","","-0,15%"
"20.02.2020","3,9657","3,9504","3,9723","3,9446","","0,46%"
"21.02.2020","3,9523","3,9678","3,9732","3,9453","","-0,34%"
"24.02.2020","3,9648","3,9532","3,9836","3,9523","","0,32%"
"25.02.2020","3,9563","3,9666","3,9746","3,9488","","-0,21%"
"26.02.2020","3,9660","3,9576","3,9723","3,9502","","0,25%"
"27.02.2020","3,9282","3,9654","3,9694","3,9260","","-0,95%"
"28.02.2020","3,9243","3,9298","3,9555","3,9192","","-0,10%"
"02.03.2020","3,8751","3,9254","3,9272","3,8623","","-1,25%"
"03.03.2020","3,8547","3,8761","3,8933","3,8368","","-0,53%"
"04.03.2020","3,8487","3,8549","3,8724","3,8358","","-0,16%"
"05.03.2020","3,8302","3,8512","3,8630","3,8263","","-0,48%"
"06.03.2020","3,8071","3,8319","3,8450","3,7812","","-0,60%"
"09.03.2020","3,7779","3,8084","3,8084","3,7561","","-0,77%"
"10.03.2020","3,8200","3,7782","3,8273","3,7696","","1,11%"
"11.03.2020","3,8356","3,8225","3,8428","3,7929","","0,41%"
"12.03.2020","3,9139","3,8394","3,9666","3,8207","","2,04%"
"13.03.2020","3,9400","3,9144","3,9636","3,8851","","0,67%"
"16.03.2020","3,9772","3,9406","3,9905","3,9039","","0,94%"
"17.03.2020","4,0643","3,9788","4,0896","3,9682","","2,19%"
"18.03.2020","4,1240","4,0649","4,2026","4,0393","","1,47%"
"19.03.2020","4,2824","4,1255","4,3011","4,0880","","3,84%"
"20.03.2020","4,2436","4,2828","4,2978","4,1686","","-0,91%"
"23.03.2020","4,2952","4,2425","4,3095","4,2211","","1,22%"
"24.03.2020","4,2657","4,2969","4,3050","4,2189","","-0,69%"
"25.03.2020","4,1950","4,2673","4,2805","4,1771","","-1,66%"
"26.03.2020","4,0932","4,1953","4,2077","4,0788","","-2,43%"
"27.03.2020","4,0727","4,0938","4,1330","4,0654","","-0,50%"
"30.03.2020","4,1073","4,0736","4,1430","4,0705","","0,85%"
"31.03.2020","4,1323","4,1090","4,1637","4,1075","","0,61%"
"01.04.2020","4,1953","4,1311","4,2148","4,1271","","1,52%"
"02.04.2020","4,2041","4,1993","4,2295","4,1778","","0,21%"
"03.04.2020","4,2370","4,2126","4,2529","4,2017","","0,78%"
"06.04.2020","4,2217","4,2389","4,2513","4,1963","","-0,36%"
"07.04.2020","4,1515","4,2273","4,2329","4,1380","","-1,66%"
"08.04.2020","4,1715","4,1564","4,1919","4,1494","","0,48%"
"09.04.2020","4,1574","4,1736","4,1982","4,1492","","-0,34%"
"10.04.2020","4,1577","4,1600","4,1696","4,1465","","0,01%"
"13.04.2020","4,1773","4,1625","4,2003","4,1515","","0,47%"
"14.04.2020","4,1102","4,1796","4,1844","4,1105","","-1,61%"
"15.04.2020","4,1553","4,1150","4,1848","4,1083","","1,10%"
"16.04.2020","4,1906","4,1582","4,2069","4,1539","","0,85%"
"17.04.2020","4,1481","4,1935","4,1970","4,1481","","-1,01%"
"20.04.2020","4,1604","4,1575","4,1781","4,1439","","0,30%"
"21.04.2020","4,1726","4,1637","4,1929","4,1583","","0,29%"
"22.04.2020","4,1982","4,1761","4,2175","4,1624","","0,61%"
"23.04.2020","4,2120","4,2025","4,2242","4,1874","","0,33%"
"24.04.2020","4,1828","4,2142","4,2329","4,1828","","-0,69%"
"27.04.2020","4,1865","4,1899","4,1999","4,1617","","0,09%"
"28.04.2020","4,2047","4,1881","4,2070","4,1688","","0,43%"
"29.04.2020","4,1759","4,2062","4,2074","4,1740","","-0,68%"
"30.04.2020","4,1493","4,1816","4,1934","4,1371","","-0,64%"
"01.05.2020","4,1516","4,1522","4,1657","4,1371","","0,06%"
"04.05.2020","4,1705","4,1581","4,1886","4,1554","","0,46%"
"05.05.2020","4,1832","4,1711","4,2017","4,1582","","0,30%"
"06.05.2020","4,2113","4,1851","4,2222","4,1780","","0,67%"
"07.05.2020","4,2035","4,2136","4,2365","4,2010","","-0,19%"
"08.05.2020","4,1913","4,2062","4,2142","4,1798","","-0,29%"
"11.05.2020","4,2145","4,2003","4,2248","4,1872","","0,55%"
"12.05.2020","4,2057","4,2176","4,2308","4,1828","","-0,21%"
"13.05.2020","4,2182","4,2084","4,2270","4,1901","","0,30%"
"14.05.2020","4,2178","4,2219","4,2427","4,2155","","-0,01%"
"15.05.2020","4,2173","4,2203","4,2332","4,2055","","-0,01%"
"18.05.2020","4,1769","4,2231","4,2294","4,1761","","-0,96%"
"19.05.2020","4,1623","4,1802","4,1873","4,1468","","-0,35%"
"20.05.2020","4,1286","4,1648","4,1700","4,1190","","-0,81%"
"21.05.2020","4,1190","4,1302","4,1435","4,1077","","-0,23%"
"22.05.2020","4,1354","4,1212","4,1537","4,1190","","0,40%"
"25.05.2020","4,1280","4,1389","4,1550","4,1241","","-0,18%"
"26.05.2020","4,0417","4,1301","4,1352","4,0281","","-2,09%"
"27.05.2020","4,0217","4,0455","4,0588","4,0160","","-0,49%"
"28.05.2020","4,0203","4,0225","4,0395","4,0033","","-0,03%"
"29.05.2020","4,0034","4,0215","4,0273","3,9873","","-0,42%"
"01.06.2020","3,9513","4,0068","4,0071","3,9500","","-1,30%"
"02.06.2020","3,9245","3,9548","3,9673","3,9174","","-0,68%"
"03.06.2020","3,9213","3,9259","3,9488","3,8951","","-0,08%"
"04.06.2020","3,9103","3,9253","3,9799","3,8877","","-0,28%"
"05.06.2020","3,9248","3,9138","3,9402","3,8900","","0,37%"
"08.06.2020","3,9129","3,9290","3,9458","3,9095","","-0,30%"
"09.06.2020","3,9165","3,9157","3,9558","3,9076","","0,09%"
"10.06.2020","3,9098","3,9188","3,9378","3,8915","","-0,17%"
"11.06.2020","3,9538","3,9166","3,9669","3,9048","","1,13%"
"12.06.2020","3,9433","3,9590","3,9773","3,9212","","-0,27%"
"15.06.2020","3,8994","3,9483","3,9748","3,8989","","-1,11%"
"16.06.2020","3,9459","3,9011","3,9646","3,8879","","1,19%"
"17.06.2020","3,9668","3,9472","3,9876","3,9358","","0,53%"
"18.06.2020","3,9677","3,9708","3,9845","3,9514","","0,02%"
"19.06.2020","3,9891","3,9712","4,0015","3,9541","","0,54%"
"22.06.2020","3,9430","3,9938","4,0034","3,9389","","-1,16%"
"23.06.2020","3,9291","3,9459","3,9599","3,9132","","-0,35%"
"24.06.2020","3,9576","3,9332","3,9648","3,9228","","0,73%"
"25.06.2020","3,9680","3,9610","3,9948","3,9548","","0,26%"
"26.06.2020","3,9786","3,9706","3,9922","3,9639","","0,27%"
"29.06.2020","3,9618","3,9843","3,9872","3,9555","","-0,42%"
"30.06.2020","3,9539","3,9643","3,9904","3,9448","","-0,20%"
"01.07.2020","3,9746","3,9565","3,9899","3,9471","","0,52%"
"02.07.2020","3,9684","3,9771","3,9826","3,9481","","-0,16%"
"03.07.2020","3,9642","3,9701","3,9852","3,9606","","-0,11%"
"06.07.2020","3,9467","3,9681","3,9734","3,9369","","-0,44%"
"07.07.2020","3,9670","3,9471","3,9737","3,9365","","0,51%"
"08.07.2020","3,9471","3,9709","3,9764","3,9458","","-0,50%"
"09.07.2020","3,9575","3,9502","3,9646","3,9309","","0,26%"
"10.07.2020","3,9474","3,9616","3,9797","3,9419","","-0,26%"
"13.07.2020","3,9586","3,9525","3,9627","3,9361","","0,28%"
"14.07.2020","3,9233","3,9592","3,9681","3,9199","","-0,89%"
"15.07.2020","3,9219","3,9250","3,9309","3,9019","","-0,04%"
"16.07.2020","3,9358","3,9231","3,9469","3,9121","","0,35%"
"17.07.2020","3,9143","3,9395","3,9445","3,9122","","-0,55%"
"20.07.2020","3,8912","3,9176","3,9276","3,8895","","-0,59%"
"21.07.2020","3,8450","3,8923","3,9000","3,8407","","-1,19%"
"22.07.2020","3,8204","3,8465","3,8614","3,8096","","-0,64%"
"23.07.2020","3,8010","3,8219","3,8284","3,7856","","-0,51%"
"24.07.2020","3,7766","3,8026","3,8096","3,7755","","-0,64%"
"27.07.2020","3,7350","3,7780","3,7875","3,7266","","-1,10%"
"28.07.2020","3,7626","3,7353","3,7705","3,7280","","0,74%"
"29.07.2020","3,7332","3,7661","3,7784","3,7333","","-0,78%"
"30.07.2020","3,7193","3,7417","3,7629","3,7185","","-0,37%"
"31.07.2020","3,7429","3,7224","3,7554","3,6983","","0,63%"
"03.08.2020","3,7492","3,7499","3,7805","3,7406","","0,17%"
"04.08.2020","3,7230","3,7513","3,7604","3,7223","","-0,70%"
"05.08.2020","3,7108","3,7241","3,7301","3,6943","","-0,33%"
"06.08.2020","3,7174","3,7139","3,7310","3,6890","","0,18%"
"07.08.2020","3,7410","3,7185","3,7528","3,7109","","0,63%"
"10.08.2020","3,7445","3,7445","3,7543","3,7310","","0,09%"
"11.08.2020","3,7509","3,7476","3,7615","3,7264","","0,17%"
"12.08.2020","3,7320","3,7541","3,7649","3,7243","","-0,50%"
"13.08.2020","3,7200","3,7371","3,7396","3,7065","","-0,32%"
"14.08.2020","3,7094","3,7232","3,7336","3,7097","","-0,28%"
"17.08.2020","3,7039","3,7123","3,7192","3,6971","","-0,15%"
"18.08.2020","3,6668","3,7053","3,7082","3,6609","","-1,00%"
"19.08.2020","3,7147","3,6688","3,7199","3,6613","","1,31%"
"20.08.2020","3,6936","3,7169","3,7266","3,6930","","-0,57%"
"21.08.2020","3,7402","3,6964","3,7513","3,6850","","1,26%"
"24.08.2020","3,7270","3,7455","3,7473","3,7076","","-0,35%"
"25.08.2020","3,7172","3,7292","3,7330","3,7058","","-0,26%"
"26.08.2020","3,7300","3,7189","3,7471","3,7116","","0,34%"
"27.08.2020","3,7276","3,7317","3,7533","3,6988","","-0,06%"
"28.08.2020","3,6837","3,7315","3,7374","3,6810","","-1,18%"
"31.08.2020","3,6815","3,6860","3,6999","3,6649","","-0,06%"
"01.09.2020","3,6831","3,6841","3,6904","3,6558","","0,04%"
"02.09.2020","3,7190","3,6844","3,7390","3,6780","","0,97%"
"03.09.2020","3,7415","3,7218","3,7621","3,7194","","0,60%"
"04.09.2020","3,7608","3,7448","3,7945","3,7391","","0,52%"
"07.09.2020","3,7510","3,7640","3,7778","3,7485","","-0,26%"
"08.09.2020","3,7797","3,7550","3,7891","3,7473","","0,77%"
"09.09.2020","3,7620","3,7835","3,7924","3,7550","","-0,47%"
"10.09.2020","3,7675","3,7637","3,7786","3,7327","","0,15%"
"11.09.2020","3,7505","3,7689","3,7725","3,7453","","-0,45%"
"14.09.2020","3,7450","3,7538","3,7627","3,7408","","-0,15%"
"15.09.2020","3,7588","3,7483","3,7646","3,7292","","0,37%"
"16.09.2020","3,7643","3,7611","3,7748","3,7420","","0,15%"
"17.09.2020","3,7560","3,7662","3,7943","3,7557","","-0,22%"
"18.09.2020","3,7636","3,7592","3,7717","3,7474","","0,20%"
"21.09.2020","3,8163","3,7675","3,8356","3,7517","","1,40%"
"22.09.2020","3,8290","3,8180","3,8526","3,8087","","0,33%"
"23.09.2020","3,8708","3,8342","3,8777","3,8263","","1,09%"
"24.09.2020","3,9007","3,8731","3,9218","3,8623","","0,77%"
"25.09.2020","3,9085","3,9019","3,9254","3,8903","","0,20%"
"28.09.2020","3,9273","3,9139","3,9383","3,8949","","0,48%"
"29.09.2020","3,8521","3,9316","3,9417","3,8477","","-1,91%"
"30.09.2020","3,8643","3,8549","3,8921","3,8479","","0,32%"
"01.10.2020","3,8125","3,8670","3,8694","3,8052","","-1,34%"
"02.10.2020","3,8410","3,8154","3,8540","3,8111","","0,75%"
"05.10.2020","3,8129","3,8456","3,8473","3,8044","","-0,73%"
"06.10.2020","3,8239","3,8152","3,8301","3,7946","","0,29%"
"07.10.2020","3,8087","3,8268","3,8318","3,8024","","-0,40%"
"08.10.2020","3,8159","3,8114","3,8266","3,7991","","0,19%"
"09.10.2020","3,7751","3,8180","3,8223","3,7693","","-1,07%"
"12.10.2020","3,7691","3,7778","3,8042","3,7702","","-0,16%"
"13.10.2020","3,8250","3,7733","3,8338","3,7695","","1,48%"
"14.10.2020","3,8422","3,8270","3,8552","3,8180","","0,45%"
"15.10.2020","3,8841","3,8440","3,9014","3,8365","","1,09%"
"16.10.2020","3,8763","3,8882","3,9056","3,8679","","-0,20%"
"19.10.2020","3,8830","3,8812","3,8907","3,8717","","0,17%"
"20.10.2020","3,8560","3,8879","3,9011","3,8526","","-0,70%"
"21.10.2020","3,8467","3,8594","3,8800","3,8372","","-0,24%"
"22.10.2020","3,8698","3,8525","3,8837","3,8486","","0,60%"
"23.10.2020","3,8489","3,8705","3,8901","3,8482","","-0,54%"
"26.10.2020","3,8737","3,8518","3,8863","3,8484","","0,64%"
"27.10.2020","3,8876","3,8774","3,8925","3,8656","","0,36%"
"28.10.2020","3,9420","3,8890","3,9564","3,8852","","1,40%"
"29.10.2020","3,9600","3,9447","3,9718","3,9283","","0,46%"
"30.10.2020","3,9524","3,9612","3,9711","3,9446","","-0,19%"
"02.11.2020","3,9505","3,9558","3,9736","3,9446","","-0,05%"
"03.11.2020","3,8733","3,9527","3,9583","3,8688","","-1,95%"
"04.11.2020","3,8713","3,8762","3,9555","3,8545","","-0,05%"
"05.11.2020","3,8257","3,8749","3,8799","3,8038","","-1,18%"
"06.11.2020","3,7905","3,8289","3,8431","3,7859","","-0,92%"
"09.11.2020","3,7959","3,7945","3,8035","3,7468","","0,14%"
"10.11.2020","3,8039","3,7967","3,8254","3,7808","","0,21%"
"11.11.2020","3,8036","3,8061","3,8212","3,7954","","-0,01%"
"12.11.2020","3,8021","3,8068","3,8203","3,7913","","-0,04%"
"13.11.2020","3,7851","3,8041","3,8138","3,7847","","-0,45%"
"16.11.2020","3,7703","3,7882","3,7985","3,7627","","-0,39%"
"17.11.2020","3,7814","3,7739","3,7957","3,7657","","0,29%"
"18.11.2020","3,7659","3,7849","3,7903","3,7565","","-0,41%"
"19.11.2020","3,7584","3,7682","3,7929","3,7582","","-0,20%"
"20.11.2020","3,7659","3,7619","3,7748","3,7547","","0,20%"
"23.11.2020","3,7737","3,7713","3,7949","3,7519","","0,21%"
"24.11.2020","3,7491","3,7758","3,7787","3,7494","","-0,65%"
"25.11.2020","3,7447","3,7521","3,7668","3,7422","","-0,12%"
"26.11.2020","3,7535","3,7482","3,7662","3,7390","","0,23%"
"27.11.2020","3,7411","3,7563","3,7724","3,7448","","-0,33%"
"30.11.2020","3,7532","3,7499","3,7582","3,7258","","0,32%"
"01.12.2020","3,6806","3,7562","3,7582","3,6811","","-1,93%"
"02.12.2020","3,6907","3,6855","3,7225","3,6792","","0,27%"
"03.12.2020","3,6758","3,6941","3,7090","3,6717","","-0,40%"
"04.12.2020","3,6842","3,6798","3,6941","3,6702","","0,23%"
"07.12.2020","3,6901","3,6900","3,7113","3,6744","","0,16%"
"08.12.2020","3,6730","3,6924","3,7115","3,6718","","-0,46%"
"09.12.2020","3,6683","3,6758","3,6811","3,6425","","-0,13%"
"10.12.2020","3,6419","3,6707","3,6727","3,6411","","-0,72%"
"11.12.2020","3,6688","3,6472","3,6776","3,6376","","0,74%"
"14.12.2020","3,6507","3,6686","3,6846","3,6400","","-0,49%"
"15.12.2020","3,6515","3,6548","3,6675","3,6448","","0,02%"
"16.12.2020","3,6327","3,6546","3,6641","3,6260","","-0,51%"
"17.12.2020","3,6159","3,6366","3,6421","3,6161","","-0,46%"
"18.12.2020","3,6443","3,6193","3,6874","3,6153","","0,79%"
"21.12.2020","3,6646","3,6497","3,7322","3,6497","","0,56%"
"22.12.2020","3,7025","3,6690","3,7115","3,6670","","1,03%"
"23.12.2020","3,6915","3,7057","3,7095","3,6827","","-0,30%"
"24.12.2020","3,6915","3,6955","3,7030","3,6835","","0,00%"
"25.12.2020","3,6938","3,6970","3,7057","3,6897","","0,06%"
"28.12.2020","3,6781","3,6978","3,7093","3,6614","","-0,43%"
"29.12.2020","3,7008","3,6818","3,7282","3,6565","","0,62%"
"30.12.2020","3,7200","3,7036","3,7461","3,6748","","0,52%"
"31.12.2020","3,7271","3,7260","3,7620","3,6997","","0,19%"
"01.01.2021","3,7371","3,7327","3,7420","3,7256","","0,27%"
"04.01.2021","3,7151","3,7408","3,7417","3,6887","","-0,59%"
"05.01.2021","3,6825","3,7183","3,7234","3,6809","","-0,88%"
"06.01.2021","3,6667","3,6865","3,6936","3,6516","","-0,43%"
"07.01.2021","3,6792","3,6714","3,6959","3,6609","","0,34%"
"08.01.2021","3,6886","3,6827","3,7032","3,6725","","0,26%"
"11.01.2021","3,7230","3,6906","3,7343","3,6890","","0,93%"
"12.01.2021","3,7008","3,7269","3,7317","3,7013","","-0,60%"
"13.01.2021","3,7307","3,7036","3,7392","3,6986","","0,81%"
"14.01.2021","3,7333","3,7340","3,7576","3,7264","","0,07%"
"15.01.2021","3,7528","3,7371","3,7625","3,7331","","0,52%"
"18.01.2021","3,7531","3,7566","3,7748","3,7494","","0,01%"
"19.01.2021","3,7367","3,7574","3,7620","3,7323","","-0,44%"
"20.01.2021","3,7407","3,7389","3,7536","3,7246","","0,11%"
"21.01.2021","3,7208","3,7450","3,7483","3,7213","","-0,53%"
"22.01.2021","3,7268","3,7255","3,7371","3,7195","","0,16%"
"25.01.2021","3,7370","3,7301","3,7493","3,7220","","0,27%"
"26.01.2021","3,7354","3,7397","3,7566","3,7337","","-0,04%"
"27.01.2021","3,7537","3,7380","3,7761","3,7328","","0,49%"
"28.01.2021","3,7446","3,7558","3,7731","3,7380","","-0,24%"
"29.01.2021","3,7215","3,7467","3,7579","3,7183","","-0,62%"
"01.02.2021","3,7363","3,7248","3,7438","3,7208","","0,40%"
"02.02.2021","3,7190","3,7401","3,7470","3,7185","","-0,46%"
"03.02.2021","3,7264","3,7215","3,7441","3,7147","","0,20%"
"04.02.2021","3,7600","3,7283","3,7676","3,7234","","0,90%"
"05.02.2021","3,7174","3,7626","3,7676","3,7185","","-1,13%"
"08.02.2021","3,7121","3,7231","3,7355","3,7091","","-0,14%"
"09.02.2021","3,6906","3,7148","3,7204","3,6906","","-0,58%"
"10.02.2021","3,7041","3,6925","3,7116","3,6818","","0,37%"
"11.02.2021","3,7096","3,7066","3,7193","3,7001","","0,15%"
"12.02.2021","3,7062","3,7120","3,7287","3,7066","","-0,09%"
"15.02.2021","3,6941","3,7106","3,7146","3,6923","","-0,33%"
"16.02.2021","3,7115","3,6976","3,7186","3,6844","","0,47%"
"17.02.2021","3,7282","3,7142","3,7439","3,7095","","0,45%"
"18.02.2021","3,7102","3,7304","3,7374","3,7103","","-0,48%"
"19.02.2021","3,6982","3,7125","3,7173","3,6902","","-0,32%"
"22.02.2021","3,6962","3,7011","3,7196","3,6930","","-0,05%"
"23.02.2021","3,7070","3,6986","3,7156","3,6903","","0,29%"
"24.02.2021","3,7009","3,7094","3,7342","3,6997","","-0,16%"
"25.02.2021","3,7111","3,7034","3,7220","3,6803","","0,28%"
"26.02.2021","3,7392","3,7146","3,7497","3,7064","","0,76%"
"01.03.2021","3,7603","3,7424","3,7690","3,7299","","0,56%"
"02.03.2021","3,7542","3,7624","3,7854","3,7528","","-0,16%"
"03.03.2021","3,7665","3,7564","3,7788","3,7456","","0,33%"
"04.03.2021","3,8096","3,7685","3,8191","3,7613","","1,14%"
"05.03.2021","3,8459","3,8128","3,8633","3,8085","","0,95%"
"08.03.2021","3,8790","3,8514","3,8846","3,8409","","0,86%"
